ID,Type,Date,Time,Source,Lat (100m),Lon (100m)
6D202282,Single_Gunshot,23-Mar-18,3:04:49,WashingtonDC6D,38.901,-76.94
7D259961,Single_Gunshot,23-Mar-18,4:38:21,WashingtonDC7D,38.861,-76.988
6D202299,Single_Gunshot,24-Mar-18,0:52:33,WashingtonDC6D,38.88,-76.944
3D69008,Single_Gunshot,24-Mar-18,2:52:18,WashingtonDC3D,38.922,-77.03
7D259975,Single_Gunshot,24-Mar-18,5:13:20,WashingtonDC7D,38.828,-77.004
1D93809,Single_Gunshot,24-Mar-18,7:28:50,WashingtonDC1D,38.879,-77.022
5D84025,Single_Gunshot,24-Mar-18,14:02:30,WashingtonDC5D,38.913,-76.984
6D202310,Single_Gunshot,24-Mar-18,20:59:13,WashingtonDC6D,38.893,-76.927
7D259996,Single_Gunshot,24-Mar-18,21:15:42,WashingtonDC7D,38.863,-76.981
5D84032,Single_Gunshot,25-Mar-18,3:51:43,WashingtonDC5D,38.915,-76.984
4D67444,Single_Gunshot,25-Mar-18,4:28:39,WashingtonDC4D,38.951,-77.027
7D260016,Single_Gunshot,25-Mar-18,16:31:53,WashingtonDC7D,38.863,-76.993
7D260028,Single_Gunshot,26-Mar-18,0:13:14,WashingtonDC7D,38.859,-76.996
7D260044,Single_Gunshot,26-Mar-18,23:15:58,WashingtonDC7D,38.826,-77.004
6D202331,Single_Gunshot,27-Mar-18,0:49:35,WashingtonDC6D,38.899,-76.938
5D84060,Single_Gunshot,27-Mar-18,4:49:18,WashingtonDC5D,38.896,-76.983
7D260047,Single_Gunshot,27-Mar-18,6:56:09,WashingtonDC7D,38.83,-76.999
7D260061,Single_Gunshot,27-Mar-18,18:41:45,WashingtonDC7D,38.862,-76.997
6D202336,Single_Gunshot,27-Mar-18,19:37:33,WashingtonDC6D,38.896,-76.948
7D260071,Single_Gunshot,27-Mar-18,23:13:50,WashingtonDC7D,38.827,-77.004
6D202341,Single_Gunshot,28-Mar-18,1:47:49,WashingtonDC6D,38.898,-76.922
5D84098,Single_Gunshot,28-Mar-18,16:53:57,WashingtonDC5D,38.915,-76.994
6D202352,Single_Gunshot,28-Mar-18,19:30:03,WashingtonDC6D,38.9,-76.944
6D202353,Single_Gunshot,28-Mar-18,23:48:00,WashingtonDC6D,38.89,-76.945
6D202354,Single_Gunshot,29-Mar-18,0:05:58,WashingtonDC6D,38.888,-76.927
7D260090,Single_Gunshot,29-Mar-18,0:47:11,WashingtonDC7D,38.853,-76.973
6D202355,Single_Gunshot,29-Mar-18,1:15:44,WashingtonDC6D,38.9,-76.919
5D84108,Single_Gunshot,29-Mar-18,16:18:57,WashingtonDC5D,38.912,-76.985
7D260102,Single_Gunshot,29-Mar-18,19:22:19,WashingtonDC7D,38.831,-76.998
6D202368,Single_Gunshot,29-Mar-18,19:29:57,WashingtonDC6D,38.896,-76.955
7D260107,Single_Gunshot,29-Mar-18,23:56:09,WashingtonDC7D,38.859,-76.996
7D260110,Single_Gunshot,30-Mar-18,1:55:00,WashingtonDC7D,38.861,-76.985
7D260111,Single_Gunshot,30-Mar-18,1:55:04,WashingtonDC7D,38.861,-76.985
